State,Year,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Missouri,2050,3.1972,3.3994,3.7017,4.1053
Missouri,2060,2.8267,3.0289,3.3312,3.7348
Montana,2022,5.4617,5.6635,5.9654,6.3684
Montana,2030,3.5325,3.7344,4.0362,4.4392
Montana,2040,3.0723,3.2742,3.576,3.979
Montana,2050,2.7398,2.9417,3.2436,3.6465
Montana,2060,2.4213,2.6231,2.925,3.328
Nebraska,2022,6.1713,6.3734,6.6755,7.0789
Nebraska,2030,4.1729,4.3751,4.6772,5.0805
Nebraska,2040,3.6421,3.8442,4.1463,4.5497
Nebraska,2050,3.247,3.4491,3.7512,4.1546
Nebraska,2060,2.8678,3.0699,3.372,3.7754
Nevada,2022,5.7191,5.921,6.223,6.6261
Nevada,2030,3.7844,3.9864,4.2883,4.6915
Nevada,2040,3.2975,3.4995,3.8014,4.2046
Nevada,2050,2.9403,3.1423,3.4442,3.8474
Nevada,2060,2.5978,2.7997,3.1017,3.5048
New Hampshire,2022,10.8652,11.0676,11.37,11.7737
New Hampshire,2030,7.9583,8.1607,8.463,8.8668
New Hampshire,2040,6.983,7.1854,7.4877,7.8915
New Hampshire,2050,6.2182,6.4206,6.7229,7.1267
New Hampshire,2060,5.4821,5.6845,5.9869,6.3906
New Jersey,2022,9.129,9.3314,9.6338,10.0377
New Jersey,2030,6.563,6.7655,7.0679,7.4717
New Jersey,2040,5.754,5.9564,6.2588,6.6627
New Jersey,2050,5.1274,5.3298,5.6322,6.0361
New Jersey,2060,4.5248,4.7272,5.0296,5.4335
New Mexico,2022,5.2886,5.4908,5.793,6.1965
New Mexico,2030,3.4754,3.6776,3.9798,4.3833
New Mexico,2040,3.0269,3.2291,3.5313,3.9348
New Mexico,2050,2.6996,2.9018,3.2039,3.6075
New Mexico,2060,2.3857,2.5879,2.8901,3.2936
New York,2022,6.833,7.0353,7.3377,7.7414
New York,2030,4.6935,4.8958,5.1982,5.6019
New York,2040,4.1046,4.3069,4.6093,5.013
New York,2050,3.6623,3.8647,4.167,4.5708
New York,2060,3.2377,3.44,3.7424,4.1461
North Carolina,2022,6.1364,6.3388,6.6413,7.0453
North Carolina,2030,4.0891,4.2916,4.5941,4.9981
North Carolina,2040,3.5672,3.7697,4.0722,4.4761
North Carolina,2050,3.183,3.3854,3.6879,4.0919
North Carolina,2060,2.8144,3.0169,3.3194,3.7233
North Dakota,2022,6.0667,6.2687,6.5706,6.9738
North Dakota,2030,4.05,4.252,4.554,4.9571
North Dakota,2040,3.5318,3.7337,4.0357,4.4388
North Dakota,2050,3.1493,3.3513,3.6533,4.0564
North Dakota,2060,2.7825,2.9845,3.2864,3.6896
Ohio,2022,6.2395,6.4418,6.7442,7.1479
Ohio,2030,4.224,4.4263,4.7287,5.1324
Ohio,2040,3.6916,3.8939,4.1962,4.6
Ohio,2050,3.2959,3.4982,3.8006,4.2043
Ohio,2060,2.9162,3.1185,3.4209,3.8246
Oklahoma,2022,4.8484,5.0507,5.3529,5.7566
Oklahoma,2030,3.0862,3.2885,3.5908,3.9944
Oklahoma,2040,2.6828,2.8851,3.1874,3.591
Oklahoma,2050,2.395,2.5973,2.8996,3.3032
Oklahoma,2060,2.1194,2.3217,2.624,3.0276
Oregon,2022,6.3326,6.5344,6.8362,7.2391
Oregon,2030,4.2311,4.4329,4.7347,5.1376
Oregon,2040,3.6892,3.891,4.1928,4.5957
Oregon,2050,3.289,3.4908,3.7926,4.1955
Oregon,2060,2.905,3.1068,3.4086,3.8115
Pennsylvania,2022,6.7866,6.9889,7.2913,7.6951
Pennsylvania,2030,4.5934,4.7957,5.0981,5.5019
Pennsylvania,2040,4.0143,4.2167,4.519,4.9228
Pennsylvania,2050,3.584,3.7864,4.0887,4.4925
Pennsylvania,2060,3.1711,3.3735,3.6758,4.0796
Rhode Island,2022,13.0048,13.2072,13.5096,13.9135
Rhode Island,2030,9.792,9.9945,10.2969,10.7007
Rhode Island,2040,8.6078,8.8103,9.1127,9.5165
Rhode Island,2050,7.6631,7.8655,8.1679,8.5718
Rhode Island,2060,6.7531,6.9555,7.2579,7.6618
South Carolina,2022,5.6075,5.81,6.1125,6.5165
South Carolina,2030,3.6459,3.8484,4.1509,4.5549
South Carolina,2040,3.1734,3.3759,3.6785,4.0825
South Carolina,2050,2.8312,3.0337,3.3362,3.7402
South Carolina,2060,2.5031,2.7056,3.0081,3.4121
South Dakota,2022,6.505,6.7071,7.0091,7.4124
South Dakota,2030,4.4298,4.6319,4.9339,5.3372
South Dakota,2040,3.8672,4.0692,4.3712,4.7745
South Dakota,2050,3.4462,3.6482,3.9503,4.3535
South Dakota,2060,3.0421,3.2441,3.5461,3.9494
Tennessee,2022,5.7162,5.9186,6.221,6.6248
Tennessee,2030,3.7239,3.9263,4.2287,4.6326
Tennessee,2040,3.2425,3.4449,3.7473,4.1511
Tennessee,2050,2.8934,3.0958,3.3982,3.802
Tennessee,2060,2.5588,2.7612,3.0636,3.4674
Texas,2022,5.5163,5.7186,6.021,6.4247
Texas,2030,3.6999,3.9022,4.2046,4.6083
