State,Year,CF,CAPEX_$/kW,SEC_kWh_kg,Electricity_$/kWh,Water_$kg,CO2_$kg,Transport_km,C_capex_usd_kg,C_opex_usd_kg,C_repl_usd_kg,C_elec_usd_kg,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Pennsylvania,2040,0.649,192.85,47.14,0.0737,0.0,0.0632,9.5,0.1628,0.0799,0.2348,3.4736,4.0143,4.2167,4.519,4.9228
Pennsylvania,2050,0.649,177.73,46.18,0.0669,0.0,0.0632,9.5,0.147,0.0722,0.2119,3.0897,3.584,3.7864,4.0887,4.4925
Pennsylvania,2060,0.649,163.8,45.22,0.0601,0.0,0.0632,9.5,0.1327,0.0651,0.1913,2.7188,3.1711,3.3735,3.6758,4.0796
Rhode Island,2022,0.699,687.14,55.0,0.2014,0.001,0.0031,9.7,0.629,0.3088,0.9859,11.077,13.0048,13.2072,13.5096,13.9135
Rhode Island,2030,0.699,233.63,48.8,0.1887,0.001,0.0031,9.7,0.1898,0.0932,0.2974,9.2076,9.792,9.9945,10.2969,10.7007
Rhode Island,2040,0.699,191.54,47.14,0.1728,0.001,0.0031,9.7,0.1503,0.0738,0.2355,8.1442,8.6078,8.8103,9.1127,9.5165
Rhode Island,2050,0.699,176.52,46.18,0.1569,0.001,0.0031,9.7,0.1357,0.0666,0.2126,7.2441,7.6631,7.8655,8.1679,8.5718
Rhode Island,2060,0.699,162.68,45.22,0.141,0.001,0.0031,9.7,0.1224,0.0601,0.1919,6.3746,6.7531,6.9555,7.2579,7.6618
South Carolina,2022,0.7,688.65,55.0,0.0666,0.0001,0.0206,10.0,0.6291,0.3088,0.9859,3.663,5.6075,5.81,6.1125,6.5165
South Carolina,2030,0.7,234.14,48.8,0.0624,0.0001,0.0206,10.0,0.1898,0.0932,0.2974,3.0448,3.6459,3.8484,4.1509,4.5549
South Carolina,2040,0.7,191.96,47.14,0.0571,0.0001,0.0206,10.0,0.1503,0.0738,0.2355,2.6932,3.1734,3.3759,3.6785,4.0825
South Carolina,2050,0.7,176.91,46.18,0.0519,0.0001,0.0206,10.0,0.1357,0.0666,0.2126,2.3955,2.8312,3.0337,3.3362,3.7402
South Carolina,2060,0.7,163.04,45.22,0.0466,0.0001,0.0206,10.0,0.1224,0.0601,0.1919,2.108,2.5031,2.7056,3.0081,3.4121
South Dakota,2022,0.763,692.24,55.0,0.0846,0.0003,0.0046,8.1,0.5799,0.2847,0.9826,4.653,6.505,6.7071,7.0091,7.4124
South Dakota,2030,0.763,235.36,48.8,0.0793,0.0003,0.0046,8.1,0.1749,0.0859,0.2964,3.8677,4.4298,4.6319,4.9339,5.3372
South Dakota,2040,0.763,192.96,47.14,0.0726,0.0003,0.0046,8.1,0.1385,0.068,0.2347,3.421,3.8672,4.0692,4.3712,4.7745
South Dakota,2050,0.763,177.83,46.18,0.0659,0.0003,0.0046,8.1,0.1251,0.0614,0.2119,3.0429,3.4462,3.6482,3.9503,4.3535
South Dakota,2060,0.763,163.89,45.22,0.0592,0.0003,0.0046,8.1,0.1129,0.0554,0.1913,2.6777,3.0421,3.2441,3.5461,3.9494
Tennessee,2022,0.683,690.37,55.0,0.068,0.0,0.0271,9.6,0.6463,0.3173,0.9855,3.74,5.7162,5.9186,6.221,6.6248
Tennessee,2030,0.683,234.73,48.8,0.0637,0.0,0.0271,9.6,0.195,0.0957,0.2973,3.1088,3.7239,3.9263,4.2287,4.6326
Tennessee,2040,0.683,192.44,47.14,0.0583,0.0,0.0271,9.6,0.1544,0.0758,0.2354,2.7498,3.2425,3.4449,3.7473,4.1511
Tennessee,2050,0.683,177.35,46.18,0.053,0.0,0.0271,9.6,0.1394,0.0684,0.2125,2.4459,2.8934,3.0958,3.3982,3.802
Tennessee,2060,0.683,163.45,45.22,0.0476,0.0,0.0271,9.6,0.1258,0.0618,0.1918,2.1523,2.5588,2.7612,3.0636,3.4674
Texas,2022,0.801,637.05,55.0,0.0651,0.0,0.2,9.4,0.5084,0.2496,0.9778,3.5805,5.5163,5.7186,6.021,6.4247
Texas,2030,0.801,216.6,48.8,0.061,0.0,0.2,9.4,0.1534,0.0753,0.295,2.9762,3.6999,3.9022,4.2046,4.6083
Texas,2040,0.801,177.58,47.14,0.0558,0.0,0.2,9.4,0.1214,0.0596,0.2336,2.6325,3.2472,3.4495,3.7519,4.1556
Texas,2050,0.801,163.65,46.18,0.0507,0.0,0.2,9.4,0.1096,0.0538,0.2109,2.3416,2.9159,3.1183,3.4206,3.8244
Texas,2060,0.801,150.82,45.22,0.0456,0.0,0.2,9.4,0.0989,0.0486,0.1903,2.0605,2.5984,2.8007,3.1031,3.5068
Utah,2022,0.744,681.09,55.0,0.0784,0.0003,0.0179,8.1,0.5852,0.2873,0.9843,4.312,6.187,6.389,6.691,7.0942
Utah,2030,0.744,231.57,48.8,0.0734,0.0003,0.0179,8.1,0.1765,0.0867,0.2969,3.5843,4.1626,4.3647,4.6667,5.0699
Utah,2040,0.744,189.85,47.14,0.0673,0.0003,0.0179,8.1,0.1398,0.0686,0.2351,3.1703,3.6321,3.8341,4.1361,4.5394
Utah,2050,0.744,174.97,46.18,0.0611,0.0003,0.0179,8.1,0.1262,0.062,0.2123,2.8199,3.2386,3.4407,3.7427,4.1459
Utah,2060,0.744,161.25,45.22,0.0549,0.0003,0.0179,8.1,0.1139,0.0559,0.1916,2.4815,2.8611,3.0631,3.3651,3.7683
Vermont,2022,0.626,695.46,55.0,0.1202,0.0002,0.0017,9.4,0.7105,0.3488,0.979,6.611,8.6512,8.8536,9.1559,9.5596
Vermont,2030,0.626,236.46,48.8,0.1126,0.0002,0.0017,9.4,0.2144,0.1052,0.2953,5.4953,6.1121,6.3144,6.6167,7.0205
Vermont,2040,0.626,193.86,47.14,0.1031,0.0002,0.0017,9.4,0.1697,0.0833,0.2339,4.8606,5.3494,5.5517,5.8541,6.2578
Vermont,2050,0.626,178.66,46.18,0.0936,0.0002,0.0017,9.4,0.1532,0.0752,0.2112,4.3234,4.7649,4.9672,5.2696,5.6733
Vermont,2060,0.626,164.65,45.22,0.0841,0.0002,0.0017,9.4,0.1383,0.0679,0.1906,3.8045,4.2031,4.4054,4.7077,5.1115
Virginia,2022,0.68,689.09,55.0,0.0911,0.0001,0.0302,9.8,0.6479,0.318,0.9854,5.0105,6.9921,7.1945,7.4969,7.9008
Virginia,2030,0.68,234.29,48.8,0.0853,0.0001,0.0302,9.8,0.1954,0.0959,0.2973,4.1649,4.7838,4.9863,5.2887,5.6926
Virginia,2040,0.68,192.08,47.14,0.0782,0.0001,0.0302,9.8,0.1548,0.076,0.2354,3.6839,4.1803,4.3827,4.6852,5.0891
Virginia,2050,0.68,177.02,46.18,0.071,0.0001,0.0302,9.8,0.1397,0.0686,0.2125,3.2767,3.7279,3.9303,4.2328,4.6367
Virginia,2060,0.68,163.14,45.22,0.0638,0.0001,0.0302,9.8,0.1261,0.0619,0.1918,2.8834,3.2935,3.4959,3.7984,4.2023
Washington,2022,0.618,691.17,55.0,0.0646,0.0,0.0228,6.9,0.715,0.351,0.9774,3.553,5.6194,5.8211,6.1228,6.5256
