State,Year,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Missouri,2050,2.8361,3.3407,3.3407,3.3407
Missouri,2060,2.5009,3.0055,3.0055,3.0055
Montana,2022,5.3887,5.8925,5.8925,5.8925
Montana,2030,3.1095,3.6132,3.6132,3.6132
Montana,2040,2.7124,3.2161,3.2161,3.2161
Montana,2050,2.4157,2.9194,2.9194,2.9194
Montana,2060,2.1303,2.634,2.634,2.634
Nebraska,2022,6.0132,6.5174,6.5174,6.5174
Nebraska,2030,3.7243,4.2285,4.2285,4.2285
Nebraska,2040,3.256,3.7602,3.7602,3.7602
Nebraska,2050,2.8992,3.4034,3.4034,3.4034
Nebraska,2060,2.5555,3.0597,3.0597,3.0597
Nevada,2022,5.5796,6.0835,6.0835,6.0835
Nevada,2030,3.3513,3.8552,3.8552,3.8552
Nevada,2040,2.9272,3.4311,3.4311,3.4311
Nevada,2050,2.6067,3.1106,3.1106,3.1106
Nevada,2060,2.2982,2.8021,2.8021,2.8021
New Hampshire,2022,10.9305,11.4352,11.4352,11.4352
New Hampshire,2030,7.3773,7.8821,7.8821,7.8821
New Hampshire,2040,6.465,6.9697,6.9697,6.9697
New Hampshire,2050,5.7538,6.2586,6.2586,6.2586
New Hampshire,2060,5.0682,5.5729,5.5729,5.5729
New Jersey,2022,9.082,9.5869,9.5869,9.5869
New Jersey,2030,6.0148,6.5196,6.5196,6.5196
New Jersey,2040,5.2689,5.7737,5.7737,5.7737
New Jersey,2050,4.6903,5.1952,5.1952,5.1952
New Jersey,2060,4.1327,4.6375,4.6375,4.6375
New Mexico,2022,5.0751,5.5795,5.5795,5.5795
New Mexico,2030,3.0552,3.5596,3.5596,3.5596
New Mexico,2040,2.6689,3.1733,3.1733,3.1733
New Mexico,2050,2.3768,2.8812,2.8812,2.8812
New Mexico,2060,2.0957,2.6,2.6,2.6
New York,2022,6.707,7.2117,7.2117,7.2117
New York,2030,4.1997,4.7044,4.7044,4.7044
New York,2040,3.6738,4.1784,4.1784,4.1784
New York,2050,3.2718,3.7765,3.7765,3.7765
New York,2060,2.8847,3.3894,3.3894,3.3894
North Carolina,2022,6.0599,6.5648,6.5648,6.5648
North Carolina,2030,3.627,4.132,4.132,4.132
North Carolina,2040,3.1682,3.6732,3.6732,3.6732
North Carolina,2050,2.8219,3.3268,3.3268,3.3268
North Carolina,2060,2.4886,2.9935,2.9935,2.9935
North Dakota,2022,5.9652,6.4692,6.4692,6.4692
North Dakota,2030,3.6028,4.1068,4.1068,4.1068
North Dakota,2040,3.1475,3.6514,3.6514,3.6514
North Dakota,2050,2.803,3.3069,3.3069,3.3069
North Dakota,2060,2.4713,2.9752,2.9752,2.9752
Ohio,2022,6.0605,6.5651,6.5651,6.5651
Ohio,2030,3.7402,4.2449,4.2449,4.2449
Ohio,2040,3.2708,3.7755,3.7755,3.7755
Ohio,2050,2.9136,3.4182,3.4182,3.4182
Ohio,2060,2.5696,3.0742,3.0742,3.0742
Oklahoma,2022,4.6627,5.1672,5.1672,5.1672
Oklahoma,2030,2.6691,3.1736,3.1736,3.1736
Oklahoma,2040,2.3282,2.8327,2.8327,2.8327
Oklahoma,2050,2.0741,2.5786,2.5786,2.5786
Oklahoma,2060,1.8297,2.3343,2.3343,2.3343
Oregon,2022,6.3079,6.8115,6.8115,6.8115
Oregon,2030,3.7806,4.2842,4.2842,4.2842
Oregon,2040,3.3018,3.8054,3.8054,3.8054
Oregon,2050,2.9401,3.4437,3.4437,3.4437
Oregon,2060,2.5921,3.0957,3.0957,3.0957
Pennsylvania,2022,6.7727,7.2775,7.2775,7.2775
Pennsylvania,2030,4.0934,4.5982,4.5982,4.5982
Pennsylvania,2040,3.5774,4.0821,4.0821,4.0821
Pennsylvania,2050,3.1869,3.6916,3.6916,3.6916
Pennsylvania,2060,2.811,3.3157,3.3157,3.3157
Rhode Island,2022,12.9554,13.4602,13.4602,13.4602
Rhode Island,2030,9.1432,9.648,9.648,9.648
Rhode Island,2040,8.0223,8.5271,8.5271,8.5271
Rhode Island,2050,7.1389,7.6437,7.6437,7.6437
Rhode Island,2060,6.2866,6.7915,6.7915,6.7915
South Carolina,2022,5.5441,6.0491,6.0491,6.0491
South Carolina,2030,3.2103,3.7153,3.7153,3.7153
South Carolina,2040,2.801,3.306,3.306,3.306
South Carolina,2050,2.4949,2.9999,2.9999,2.9999
South Carolina,2060,2.2004,2.7054,2.7054,2.7054
South Dakota,2022,6.3838,6.8878,6.8878,6.8878
South Dakota,2030,3.9779,4.482,4.482,4.482
South Dakota,2040,3.4781,3.9822,3.9822,3.9822
South Dakota,2050,3.0965,3.6006,3.6006,3.6006
