State,Year,CF,CAPEX_$/kW,SEC_kWh_kg,Electricity_$/kWh,Water_$kg,CO2_$kg,Transport_km,C_capex_usd_kg,C_opex_usd_kg,C_repl_usd_kg,C_elec_usd_kg,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Delaware,2060,0.721,217.05,34.0,0.0603,0.0013,0.001,9.7,0.1191,0.0585,0.0,2.0492,2.2289,2.4314,2.7338,3.1387
Florida,2022,0.745,3418.96,38.0,0.0888,0.0001,0.0171,10.5,2.0271,0.9951,0.0,3.3744,6.4138,6.6164,6.919,7.3243
Florida,2030,0.745,355.57,35.2,0.0832,0.0001,0.0171,10.5,0.1953,0.0959,0.0,2.9283,3.2367,3.4394,3.742,4.1472
Florida,2040,0.745,254.14,34.37,0.0762,0.0001,0.0171,10.5,0.1363,0.0669,0.0,2.6183,2.8388,3.0414,3.344,3.7492
Florida,2050,0.745,234.21,34.0,0.0692,0.0001,0.0171,10.5,0.1242,0.061,0.0,2.3518,2.5543,2.7569,3.0595,3.4648
Florida,2060,0.745,215.85,34.0,0.0622,0.0001,0.0171,10.5,0.1145,0.0562,0.0,2.1134,2.3014,2.504,2.8066,3.2119
Georgia,2022,0.7,2902.56,38.0,0.0701,0.0001,0.0096,10.0,1.8307,0.8987,0.0,2.6638,5.403,5.6055,5.908,6.313
Georgia,2030,0.7,301.87,35.2,0.0657,0.0001,0.0096,10.0,0.1764,0.0866,0.0,2.3117,2.5844,2.7869,3.0894,3.4944
Georgia,2040,0.7,215.75,34.37,0.0601,0.0001,0.0096,10.0,0.1231,0.0604,0.0,2.067,2.2602,2.4627,2.7652,3.1702
Georgia,2050,0.7,198.84,34.0,0.0546,0.0001,0.0096,10.0,0.1122,0.0551,0.0,1.8565,2.0336,2.2361,2.5386,2.9436
Georgia,2060,0.7,183.25,34.0,0.0491,0.0001,0.0096,10.0,0.1034,0.0508,0.0,1.6684,1.8323,2.0348,2.3373,2.7423
Idaho,2022,0.676,2894.77,38.0,0.0755,0.0001,0.0015,7.5,1.891,0.9283,0.0,2.869,5.6899,5.8918,6.1936,6.5974
Idaho,2030,0.676,301.06,35.2,0.0707,0.0001,0.0015,7.5,0.1822,0.0894,0.0,2.4898,2.7629,2.9648,3.2667,3.6704
Idaho,2040,0.676,215.18,34.37,0.0648,0.0001,0.0015,7.5,0.1271,0.0624,0.0,2.2262,2.4173,2.6192,2.921,3.3248
Idaho,2050,0.676,198.31,34.0,0.0588,0.0001,0.0015,7.5,0.1159,0.0569,0.0,1.9996,2.174,2.3758,2.6777,3.0814
Idaho,2060,0.676,182.76,34.0,0.0528,0.0001,0.0015,7.5,0.1068,0.0524,0.0,1.7969,1.9577,2.1596,2.4615,2.8652
Illinois,2022,0.723,3453.75,38.0,0.0981,0.0001,0.014,9.0,2.1092,1.0354,0.0,3.7278,6.8864,7.0887,7.3909,7.7955
Illinois,2030,0.723,359.19,35.2,0.0919,0.0001,0.014,9.0,0.2032,0.0997,0.0,3.235,3.552,3.7543,4.0565,4.461
Illinois,2040,0.723,256.73,34.37,0.0842,0.0001,0.014,9.0,0.1418,0.0696,0.0,2.8926,3.118,3.3203,3.6225,4.0271
Illinois,2050,0.723,236.6,34.0,0.0764,0.0001,0.014,9.0,0.1293,0.0635,0.0,2.5981,2.8049,3.0071,3.3094,3.7139
Illinois,2060,0.723,218.05,34.0,0.0687,0.0001,0.014,9.0,0.1191,0.0585,0.0,2.3348,2.5264,2.7287,3.031,3.4355
Indiana,2022,0.707,3451.32,38.0,0.0901,0.0001,0.0125,9.2,2.1565,1.0586,0.0,3.4238,6.6515,6.8538,7.1561,7.5607
Indiana,2030,0.707,358.94,35.2,0.0844,0.0001,0.0125,9.2,0.2077,0.102,0.0,2.9712,3.2936,3.4959,3.7982,4.2028
Indiana,2040,0.707,256.54,34.37,0.0773,0.0001,0.0125,9.2,0.145,0.0712,0.0,2.6567,2.8855,3.0878,3.3901,3.7947
Indiana,2050,0.707,236.43,34.0,0.0702,0.0001,0.0125,9.2,0.1322,0.0649,0.0,2.3862,2.596,2.7982,3.1005,3.5051
Indiana,2060,0.707,217.9,34.0,0.0631,0.0001,0.0125,9.2,0.1218,0.0598,0.0,2.1444,2.3387,2.541,2.8432,3.2478
Iowa,2022,0.741,3101.16,38.0,0.0604,0.0001,0.0054,8.7,1.8488,0.9076,0.0,2.2952,5.0571,5.2593,5.5615,5.9658
Iowa,2030,0.741,322.52,35.2,0.0566,0.0001,0.0054,8.7,0.1781,0.0874,0.0,1.9918,2.2628,2.465,2.7672,3.1715
Iowa,2040,0.741,230.52,34.37,0.0518,0.0001,0.0054,8.7,0.1243,0.061,0.0,1.7809,1.9718,2.1739,2.4761,2.8804
Iowa,2050,0.741,212.44,34.0,0.047,0.0001,0.0054,8.7,0.1133,0.0556,0.0,1.5996,1.7741,1.9763,2.2784,2.6828
Iowa,2060,0.741,195.79,34.0,0.0423,0.0001,0.0054,8.7,0.1044,0.0513,0.0,1.4375,1.5987,1.8009,2.103,2.5074
Kansas,2022,0.803,3418.57,38.0,0.0779,0.0003,0.0045,8.8,1.88,0.9229,0.0,2.9602,5.7679,5.9701,6.2723,6.6767
Kansas,2030,0.803,355.53,35.2,0.073,0.0003,0.0045,8.8,0.1811,0.0889,0.0,2.5689,2.8437,3.0459,3.3481,3.7525
Kansas,2040,0.803,254.11,34.37,0.0668,0.0003,0.0045,8.8,0.1264,0.062,0.0,2.2969,2.4902,2.6924,2.9946,3.3989
Kansas,2050,0.803,234.19,34.0,0.0607,0.0003,0.0045,8.8,0.1152,0.0566,0.0,2.0631,2.2397,2.4419,2.7441,3.1485
Kansas,2060,0.803,215.83,34.0,0.0545,0.0003,0.0045,8.8,0.1062,0.0521,0.0,1.854,2.0171,2.2193,2.5215,2.9259
Kentucky,2022,0.677,2907.56,38.0,0.0693,0.0001,0.0083,9.5,1.8964,0.931,0.0,2.6334,5.4692,5.6715,5.9739,6.3786
Kentucky,2030,0.677,302.39,35.2,0.0649,0.0001,0.0083,9.5,0.1827,0.0897,0.0,2.2853,2.5661,2.7684,3.0708,3.4755
Kentucky,2040,0.677,216.13,34.37,0.0595,0.0001,0.0083,9.5,0.1275,0.0626,0.0,2.0434,2.2418,2.4442,2.7466,3.1513
Kentucky,2050,0.677,199.18,34.0,0.054,0.0001,0.0083,9.5,0.1162,0.0571,0.0,1.8354,2.017,2.2194,2.5218,2.9265
Kentucky,2060,0.677,183.57,34.0,0.0485,0.0001,0.0083,9.5,0.1071,0.0526,0.0,1.6493,1.8174,2.0198,2.3222,2.7269
Louisiana,2022,0.733,3065.8,38.0,0.0689,0.0001,0.0143,9.8,1.8472,0.9068,0.0,2.6182,5.3865,5.589,5.8914,6.2963
Louisiana,2030,0.733,318.84,35.2,0.0645,0.0001,0.0143,9.8,0.178,0.0874,0.0,2.2721,2.5517,2.7542,3.0566,3.4615
Louisiana,2040,0.733,227.89,34.37,0.0591,0.0001,0.0143,9.8,0.1242,0.061,0.0,2.0316,2.231,2.4335,2.7359,3.1409
Louisiana,2050,0.733,210.02,34.0,0.0537,0.0001,0.0143,9.8,0.1132,0.0556,0.0,1.8248,2.0079,2.2103,2.5128,2.9177
Louisiana,2060,0.733,193.56,34.0,0.0482,0.0001,0.0143,9.8,0.1043,0.0512,0.0,1.6398,1.8097,2.0122,2.3146,2.7195
Maine,2022,0.644,3469.71,38.0,0.14,0.0001,0.0011,9.4,2.3793,1.168,0.0,5.32,8.8685,9.0709,9.3732,9.7779
Maine,2030,0.644,360.85,35.2,0.1312,0.0001,0.0011,9.4,0.2292,0.1125,0.0,4.6168,4.9597,5.162,5.4644,5.8691
Maine,2040,0.644,257.91,34.37,0.1201,0.0001,0.0011,9.4,0.16,0.0785,0.0,4.128,4.3677,4.57,4.8724,5.2771
Maine,2050,0.644,237.69,34.0,0.1091,0.0001,0.0011,9.4,0.1458,0.0716,0.0,3.7078,3.9264,4.1287,4.4311,4.8358
Maine,2060,0.644,219.06,34.0,0.098,0.0001,0.0011,9.4,0.1344,0.066,0.0,3.332,3.5336,3.7359,4.0383,4.4429
Maryland,2022,0.699,3084.62,38.0,0.1061,0.0003,0.004,9.7,1.949,0.9568,0.0,4.0318,6.9418,7.1442,7.4466,7.8515
Maryland,2030,0.699,320.8,35.2,0.0994,0.0003,0.004,9.7,0.1878,0.0922,0.0,3.4988,3.783,3.9855,4.2879,4.6927
Maryland,2040,0.699,229.29,34.37,0.091,0.0003,0.004,9.7,0.131,0.0643,0.0,3.1284,3.3281,3.5305,3.8329,4.2378
Maryland,2050,0.699,211.31,34.0,0.0826,0.0003,0.004,9.7,0.1195,0.0586,0.0,2.81,2.9924,3.1948,3.4972,3.9021
Maryland,2060,0.699,194.74,34.0,0.0743,0.0003,0.004,9.7,0.1101,0.054,0.0,2.5252,2.6936,2.896,3.1984,3.6033
Massachusetts,2022,0.684,3448.8,38.0,0.1895,0.0003,0.0044,9.6,2.2274,1.0934,0.0,7.201,10.5265,10.7289,11.0313,11.4361
Massachusetts,2030,0.684,358.68,35.2,0.1775,0.0003,0.0044,9.6,0.2146,0.1053,0.0,6.2491,6.5737,6.7761,7.0785,7.4833
Massachusetts,2040,0.684,256.36,34.37,0.1626,0.0003,0.0044,9.6,0.1498,0.0735,0.0,5.5876,5.8155,6.0179,6.3203,6.7251
Massachusetts,2050,0.684,236.26,34.0,0.1476,0.0003,0.0044,9.6,0.1365,0.067,0.0,5.0188,5.227,5.4294,5.7318,6.1366
Massachusetts,2060,0.684,217.74,34.0,0.1326,0.0003,0.0044,9.6,0.1258,0.0618,0.0,4.5101,4.7024,4.9048,5.2072,5.612
Michigan,2022,0.699,3262.56,38.0,0.0853,0.0001,0.0113,8.7,2.0625,1.0125,0.0,3.2414,6.3278,6.5299,6.8321,7.2365
Michigan,2030,0.699,339.31,35.2,0.0799,0.0001,0.0113,8.7,0.1987,0.0975,0.0,2.8129,3.1205,3.3227,3.6249,4.0293
Michigan,2040,0.699,242.51,34.37,0.0732,0.0001,0.0113,8.7,0.1387,0.0681,0.0,2.5151,2.7333,2.9354,3.2376,3.642
Michigan,2050,0.699,223.5,34.0,0.0664,0.0001,0.0113,8.7,0.1264,0.0621,0.0,2.2591,2.459,2.6611,2.9633,3.3677
