"state,min,max,mean,median,std"
"West Virginia,1.6861779689788818,13.113045692443848,5.104040163686563,4.871262073516846,1.0385829628132557"
"Florida,3.8721022605895996,7.209726333618164,5.398099396517687,6.685147285461426,0.6338054861326728"
"Illinois,4.312637805938721,9.084383010864258,6.941230925218251,5.966335773468018,0.5419873999622399"
"Minnesota,4.506215572357178,9.420262336730957,7.2144983672093765,7.053256034851074,0.6742429614685754"
"Maryland,2.108750343322754,10.179200172424316,6.202622591744759,6.421133995056152,0.9310434230780122"
"Rhode Island,4.728074550628662,9.228248596191406,6.603983719650742,6.107462406158447,1.1184079375549083"
"Idaho,0.471527099609375,16.793447494506836,5.411706994122557,4.902456283569336,1.4294922141066537"
"New Hampshire,2.3326961994171143,15.73646068572998,5.477382174944572,5.598103046417236,1.0561015667045544"
"North Carolina,1.0309969186782837,13.952924728393555,5.577167439674669,8.049483299255371,1.134873000753031"
"Vermont,2.635286808013916,13.28304672241211,5.590477322175453,5.28910493850708,0.9983322090236552"
"Connecticut,3.545196533203125,9.371315002441406,5.688897944183509,5.526627063751221,0.7319023496630815"
"Delaware,4.640015125274658,8.594818115234375,6.698523605103107,6.555681228637695,0.7361561040937182"
"New Mexico,1.562417984008789,16.686349868774414,6.407310484203866,5.993447780609131,1.2254071107424687"
"California,0.18140064179897308,17.209409713745117,4.987157885540146,5.29738712310791,1.5630388586173611"
"New Jersey,3.2993457317352295,8.710698127746582,6.072312012377023,8.567419052124023,0.9392513549936006"
"Wisconsin,4.317095756530762,9.44278621673584,6.825676881492896,9.07109546661377,0.9694312901806417"
"Oregon,0.5255380868911743,18.42568016052246,5.392414454563421,6.374831199645996,1.3288616844482966"
"Nebraska,5.574645042419434,11.521968841552734,8.054478867334053,7.472352027893066,0.5744460550877178"
"Pennsylvania,1.9537601470947266,11.021677017211914,5.739051826776387,5.793768405914307,0.8999307886492088"
"Washington,0.3574666380882263,17.1011905670166,5.2347859080342145,5.068155765533447,1.4840908230516736"
"Louisiana,4.002662181854248,7.373414993286133,5.698581602305606,6.974322319030762,0.7891741773102248"
"Georgia,2.1516737937927246,9.951199531555176,4.973411088731951,5.993722438812256,0.4856726504680384"
"Alabama,2.4132332801818848,8.435888290405273,4.947174699705775,5.142758369445801,0.5314838008798578"
"Utah,1.0976511240005493,17.453895568847656,5.5573576977996,5.489196300506592,1.1250781736764375"
"Ohio,3.1080234050750732,8.825573921203613,6.547393481430527,4.986848831176758,0.9658747534351088"
"Texas,1.9142590761184692,14.348515510559082,6.76722741302673,7.13593053817749,1.0254616686186486"
"Colorado,0.9246833324432373,24.16278648376465,6.2819360828646245,7.9216814041137695,1.6381678985105315"
"South Carolina,1.6965582370758057,9.570541381835938,5.113564084385704,6.53537130355835,0.6780059628111406"
"Oklahoma,3.2471368312835693,12.877482414245605,7.420645380860687,5.372331142425537,0.889305129563712"
"Tennessee,1.8611834049224854,12.314655303955078,5.343052700453897,4.789264678955078,0.7688882863434059"
"Wyoming,1.5073373317718506,24.27526092529297,7.369963405671985,7.708596229553223,1.694903609060436"
"North Dakota,5.509625434875488,10.580511093139648,7.865342961552263,7.671968460083008,0.4257776425180221"
"Kentucky,2.0037498474121094,10.666708946228027,5.601381487431197,4.829217433929443,0.8274810293178934"
"Maine,2.9511895179748535,16.894981384277344,6.0944000852342315,5.770953178405762,0.9725344241571859"
"New York,1.9039363861083984,15.778800010681152,6.217157868384174,8.607624053955078,1.082172114544828"
"Nevada,1.76361882686615,14.54714298248291,5.599734342267886,7.130939483642578,0.9800189039684217"
"Michigan,3.2024757862091064,10.360843658447266,7.325222369583002,7.075425148010254,1.2638753376549505"
"Arkansas,2.408066511154175,12.603386878967285,5.652392780386997,5.757938861846924,0.7766282826558153"
"Mississippi,3.9570276737213135,7.1190009117126465,5.217337513136185,4.976687431335449,0.5699177453357306"
"Missouri,3.397839307785034,8.453033447265625,6.577648763869527,6.510824680328369,0.7639316479242475"
"Montana,0.9119067788124084,25.6595516204834,6.997963553998988,8.056169509887695,1.5874988771461858"
"Kansas,5.548490047454834,9.730684280395508,7.851912095850204,7.612602233886719,0.44539115283361697"
"Indiana,3.809709310531616,8.340237617492676,6.6499128856051914,5.664601802825928,0.6679117310759383"
"South Dakota,3.1848955154418945,12.32229995727539,7.96708095042886,7.619816780090332,0.5813043820361959"
"Massachusetts,2.477041721343994,12.431933403015137,6.4130150316356636,8.90536117553711,1.4087280627345797"
"Virginia,2.082780599594116,11.96888542175293,5.467236105174137,8.000994682312012,1.0879725672413352"
"Iowa,4.311995506286621,8.859411239624023,7.536834404951103,6.778530597686768,0.41588413101266997"
"Arizona,0.4942535161972046,13.632173538208008,5.158769195774447,5.203904151916504,0.9929193933320339"
