State,Year,CF,CAPEX_$/kW,SEC_kWh_kg,Electricity_$/kWh,Water_$kg,CO2_$kg,Transport_km,C_capex_usd_kg,C_opex_usd_kg,C_repl_usd_kg,C_elec_usd_kg,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Delaware,2060,0.721,162.79,43.33,0.0603,0.0013,0.001,9.7,0.1138,0.0559,0.0,2.6116,2.7835,3.2884,3.2884,3.2884
Florida,2022,0.745,1367.58,55.0,0.0888,0.0001,0.0171,10.5,1.1736,0.5761,0.0,4.884,6.6509,7.1561,7.1561,7.1561
Florida,2030,0.745,232.49,47.0,0.0832,0.0001,0.0171,10.5,0.1705,0.0837,0.0,3.91,4.1814,4.6867,4.6867,4.6867
Florida,2040,0.745,190.6,45.17,0.0762,0.0001,0.0171,10.5,0.1343,0.0659,0.0,3.4413,3.6588,4.164,4.164,4.164
Florida,2050,0.745,175.66,44.25,0.0692,0.0001,0.0171,10.5,0.1213,0.0595,0.0,3.0609,3.259,3.7642,3.7642,3.7642
Florida,2060,0.745,161.89,43.33,0.0622,0.0001,0.0171,10.5,0.1094,0.0537,0.0,2.6935,2.8739,3.3792,3.3792,3.3792
Georgia,2022,0.7,1161.02,55.0,0.0701,0.0001,0.0096,10.0,1.0599,0.5203,0.0,3.8555,5.4454,5.9505,5.9505,5.9505
Georgia,2030,0.7,197.37,47.0,0.0657,0.0001,0.0096,10.0,0.154,0.0756,0.0,3.0866,3.3259,3.8309,3.8309,3.8309
Georgia,2040,0.7,161.82,45.17,0.0601,0.0001,0.0096,10.0,0.1213,0.0596,0.0,2.7166,2.9072,3.4122,3.4122,3.4122
Georgia,2050,0.7,149.13,44.25,0.0546,0.0001,0.0096,10.0,0.1095,0.0538,0.0,2.4163,2.5894,3.0944,3.0944,3.0944
Georgia,2060,0.7,137.44,43.33,0.0491,0.0001,0.0096,10.0,0.0988,0.0485,0.0,2.1263,2.2834,2.7884,2.7884,2.7884
Idaho,2022,0.676,1157.91,55.0,0.0755,0.0001,0.0015,7.5,1.0948,0.5374,0.0,4.1525,5.7863,6.2901,6.2901,6.2901
Idaho,2030,0.676,196.84,47.0,0.0707,0.0001,0.0015,7.5,0.159,0.0781,0.0,3.3244,3.5631,4.0668,4.0668,4.0668
Idaho,2040,0.676,161.38,45.17,0.0648,0.0001,0.0015,7.5,0.1253,0.0615,0.0,2.9258,3.1143,3.618,3.618,3.618
Idaho,2050,0.676,148.73,44.25,0.0588,0.0001,0.0015,7.5,0.1131,0.0555,0.0,2.6025,2.7728,3.2765,3.2765,3.2765
Idaho,2060,0.676,137.07,43.33,0.0528,0.0001,0.0015,7.5,0.1021,0.0501,0.0,2.2901,2.4439,2.9476,2.9476,2.9476
Illinois,2022,0.723,1381.5,55.0,0.0981,0.0001,0.014,9.0,1.2211,0.5994,0.0,5.3955,7.2301,7.7346,7.7346,7.7346
Illinois,2030,0.723,234.86,47.0,0.0919,0.0001,0.014,9.0,0.1774,0.0871,0.0,4.3195,4.598,5.1025,5.1025,5.1025
