State,Year,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Missouri,2060,2.0084,2.5129,2.5129,2.5129
Montana,2022,5.6296,6.1333,6.1333,6.1333
Montana,2030,2.4353,2.939,2.939,2.939
Montana,2040,2.1177,2.6214,2.6214,2.6214
Montana,2050,1.9052,2.409,2.409,2.409
Montana,2060,1.7168,2.2206,2.2206,2.2206
Nebraska,2022,5.8804,6.3846,6.3846,6.3846
Nebraska,2030,2.8861,3.3903,3.3903,3.3903
Nebraska,2040,2.5267,3.0309,3.0309,3.0309
Nebraska,2050,2.2725,2.7767,2.7767,2.7767
Nebraska,2060,2.0466,2.5508,2.5508,2.5508
Nevada,2022,5.6218,6.1258,6.1258,6.1258
Nevada,2030,2.609,3.1129,3.1129,3.1129
Nevada,2040,2.2776,2.7815,2.7815,2.7815
Nevada,2050,2.0488,2.5527,2.5527,2.5527
Nevada,2060,1.8457,2.3496,2.3496,2.3496
New Hampshire,2022,9.7248,10.2295,10.2295,10.2295
New Hampshire,2030,5.6462,6.1509,6.1509,6.1509
New Hampshire,2040,4.9802,5.4849,5.4849,5.4849
New Hampshire,2050,4.4766,4.9814,4.9814,4.9814
New Hampshire,2060,4.0281,4.5329,4.5329,4.5329
New Jersey,2022,8.266,8.7709,8.7709,8.7709
New Jersey,2030,4.6171,5.1219,5.1219,5.1219
New Jersey,2040,4.0664,4.5713,4.5713,4.5713
New Jersey,2050,3.6562,4.1611,4.1611,4.1611
New Jersey,2060,3.2911,3.7959,3.7959,3.7959
New Mexico,2022,5.1033,5.6077,5.6077,5.6077
New Mexico,2030,2.378,2.8824,2.8824,2.8824
New Mexico,2040,2.0765,2.5809,2.5809,2.5809
New Mexico,2050,1.868,2.3724,2.3724,2.3724
New Mexico,2060,1.6829,2.1873,2.1873,2.1873
New York,2022,6.4915,6.9962,6.9962,6.9962
New York,2030,3.2514,3.7561,3.7561,3.7561
New York,2040,2.8501,3.3548,3.3548,3.3548
New York,2050,2.564,3.0687,3.0687,3.0687
New York,2060,2.3098,2.8144,2.8144,2.8144
North Carolina,2022,6.1287,6.6336,6.6336,6.6336
